,SBW_STATN_NM,ROAD_NM_ADDR
531,풍산,경기도 고양시 일산동구 경의로 486
532,일산,경기도 고양시 일산서구 경의로 672
533,탄현,경기도 고양시 일산서구 경의로 856
534,운정,경기도 파주시 운정역길 368
535,금릉,경기도 파주시 금릉역로 85
536,금촌,경기도 파주시 새꽃로 193
537,월롱,경기도 파주시 월롱면 통일로 980
538,파주,경기도 파주시 파주읍 주라위길 38
539,문산,경기도 파주시 문산읍 문산역로 94
540,강매,경기도 고양시 덕양구 소원로 202
541,야당,경기도 파주시 소리천로 10
542,기흥,경기도 용인시 기흥구 중부대로 468
543,강남대,경기도 용인시 기흥구 중부대로 578
544,지석,경기도 용인시 기흥구 어정로 28
545,어정,경기도 용인시 기흥구 어정로 128
546,동백,경기도 용인시 기흥구 동백죽전대로 314
547,초당,경기도 용인시 기흥구 동백죽전대로 204
548,삼가,경기도 용인시 처인구 중부대로 1098
549,시청.용인대,경기도 용인시 처인구 중부대로 1199-1
550,명지대,경기도 용인시 처인구 금학로 241
551,김량장,경기도 용인시 처인구 금학로 315
552,운동장.송담대,경기도 용인시 처인구 금학로 409
553,고진,경기도 용인시 처인구 경안천로 141
554,보평,경기도 용인시 처인구 경안천로 313
555,둔전,경기도 용인시 처인구 포곡읍 포곡로 70
556,전대.에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 143
564,갈매,경기도 구리시 경춘북로 229
565,별내,경기도 남양주시 경춘북로 375
566,퇴계원,경기도 남양주시 퇴계원면 경춘북로 545
567,사릉,경기도 남양주시 진건읍 진건우회로 63
568,금곡,경기도 남양주시 금곡로 19번길 47
569,평내호평,경기도 남양주시 경춘로 1375
570,천마산,경기도 남양주시 화도읍 묵현로 25번길 37
571,마석,경기도 남양주시 화도읍 마석중앙로 107
572,대성리,경기도 가평군 청평면 경춘로 88
573,청평,경기도 가평군 청평면 청평역로 97-33
574,상천,경기도 가평군 청평면 상천역로 29
575,가평,경기도 가평군 가평읍 문화로 13-42
586,판교,경기도 성남시 분당구 판교역로 160
587,정자,경기도 성남시 분당구 성남대로 333
588,미금,경기도 성남시 분당구 성남대로 156
589,동천,경기도 용인시 수지구 신수로 760
590,수지구청,경기도 용인시 수지구 풍덕천로 120
591,성복,경기도 용인시 수지구 수지로 134
615,발곡,경기도 의정부시 장곡로 258
616,회룡,경기도 의정부시 평화로 363
617,범골,경기도 의정부시 신흥로 141
618,경전철의정부,경기도 의정부시 신흥로 237
619,의정부시청,경기도 의정부시 의정로 69
620,흥선,경기도 의정부시 호국로 1197
621,의정부중앙,경기도 의정부시 호국로 1305
622,동오,경기도 의정부시 장곡로 471
623,새말,경기도 의정부시 장곡로 551
624,경기도청북부청사,경기도 의정부시 장곡로 615
625,효자,경기도 의정부시 부용로 159-40
626,곤제,경기도 의정부시 천보로 173
627,어룡,경기도 의정부시 충의로 125
628,송산,경기도 의정부시 충의로 59
629,탑석,경기도 의정부시 충의로 20
630,오이도,경기도 시흥시 역전로 430
631,월곶,경기도 시흥시 월곶중앙로 14번길 56
643,달월,경기도 시흥시 서해안로 736번길 55
672,신현,경기도 시흥시 신현로12번길 2-10
675,달미,경기도 안산시 단원구 순환로 160
676,선부,경기도 안산시 단원구 선부광장로 34
677,초지,경기도 안산시 단원구 중앙대로 635
678,원곡,경기도 안산시 단원구 동산로 50
679,원시,경기도 안산시 단원구 산단로 70
680,양촌,경기도 김포시 양촌읍 양천역길 107
681,구래,경기도 김포시 김포한강7로 87(구래동)
682,마산,경기도 김포시 김포한강3로 442(마산동)
683,장기,경기도 김포시 김포한강1로 59(장기동)
684,운양,경기도 김포시 김포한강1로 235(운양동)
685,걸포북변,경기도 김포시 김포대로 1040(북변동)
686,사우(김포시청),경기도 김포시 김포대로 852(사우동)
687,풍무,경기도 김포시 김포대로 710(사우동)
688,고촌,경기도 김포시 고촌읍 김포대로 350
