,지역,노인인구수,시설수,정원,현원
209,문경시,21600,2,66,43
210,경산시,44579,2,87,61
211,군위군,9461,1,50,36
212,의성군,21478,1,25,18
213,청송군,9382,1,24,16
214,영양군,6278,0,0,0
215,영덕군,13750,0,0,0
216,청도군,16027,2,18,9
217,고령군,9941,2,105,78
218,성주군,13971,1,50,23
219,칠곡군,18335,4,224,176
220,예천군,16844,0,0,0
221,봉화군,11567,0,0,0
222,울진군,13643,0,0,0
223,울릉군,2386,1,13,13
224,경남합계,580258,16,1188,616
225,창원시,150905,3,124,102
226,진주시,59032,0,0,0
227,통영시,25137,3,78,58
228,사천시,24604,1,50,42
229,김해시,61857,0,0,0
230,밀양시,29887,0,0,0
231,거제시,26869,2,65,51
232,양산시,48495,2,100,68
233,의령군,9921,2,187,98
234,함안군,16086,1,70,45
235,창녕군,19105,2,514,152
236,고성군,16095,0,0,0
237,남해군,16258,0,0,0
238,하동군,15490,0,0,0
239,산청군,12833,0,0,0
240,함양군,13227,0,0,0
241,거창군,17026,0,0,0
242,합천군,17431,0,0,0
243,제주합계,106154,2,90,82
244,제주시,70720,2,90,82
245,서귀포시,35434,0,0,0
