,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17082,무학봉공원,근린공원,서울특별시 중구 신당5동 산12-63,마라톤운동 등 22종,,,,,서울특별시 중구청
17083,저동1소공원,소공원,서울특별시 중구 을지로2가 203-1,,,,,,서울특별시 중구청
17084,저동2소공원,소공원,서울특별시 중구 을지로2가 203-4,,,,,,서울특별시 중구청
17085,저동3소공원,소공원,서울특별시 중구 저동2가 89-1,,,,,,서울특별시 중구청
17086,건지공원,어린이공원,인천광역시 서구 가좌동 198-11,배드민턴장,조합놀이대+그네,화장실,,,인천광역시 서구청
17087,여우재공원(이름변경),어린이공원,,다목적구장,,화장실,,,인천광역시 서구청
17088,전원1단지,어린이공원,경기도 부천시 작동 367,농구장,조합놀이대 등 2개,화장실,,,경기도 부천시청
17089,전원2단지,어린이공원,경기도 부천시 작동 344,농구장,조합놀이대,화장실,,,경기도 부천시청
17090,수비공원,근린공원,경상북도 영양군 수비면 발리리 산48,,,,,,경상북도 영양군청
17091,전원3단지,어린이공원,경기도 부천시 작동 371-4,,조합놀이대 등 2개,,,,경기도 부천시청
17092,전원4단지,어린이공원,경기도 부천시 작동 382,농구장,조합놀이대 등 2개,,,,경기도 부천시청
17093,점말,어린이공원,경기도 부천시 여월동 309,,그네 등 3개,화장실,,,경기도 부천시청
17094,정명,어린이공원,경기도 부천시 심곡본동 818,,그네 등 5개,화장실,,,경기도 부천시청
17095,종점,어린이공원,경기도 부천시 작동 36,,흔들놀이기구 등 7개,,,,경기도 부천시청
17096,중동1-1공원,소공원,경기도 부천시 중동 778-3,,,,,,경기도 부천시청
17097,중앙,근린공원,경기도 부천시 중동 1177,족구장+배드민턴장+게이트볼장+농구장,조합놀이대 등 5개,화장실,,,경기도 부천시청
17098,중흥,어린이공원,경기도 부천시 중동 1052-1,농구장,그네 등 3개,화장실,,,경기도 부천시청
17099,지석,근린공원,경기도 부천시 범박동 234-2,,,,,,경기도 부천시청
17100,진달래,근린공원,경기도 부천시 상동526-2,배드민턴장,,화장실,,,경기도 부천시청
