업종명,사업장명,골프장면적,골프장홀수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84경도,정제WGS84위도
회원제,아난티,1744453,27,경기도 가평군 설악면 유명로 961-34,경기도 가평군 설악면 방일리 산90-2번지,12472,127.4822772926,37.6201827352
회원제,썬힐,636434,18,,경기도 가평군 하면 운악청계로 589번길 73,,,
회원제,가평베네스트,1707465,27,경기도 가평군 상면 둔덕말길 232,경기도 가평군 상면 상동리 산52번지,12443,127.3054377901,37.7971446978
비회원제,베뉴지,1707073,27,경기도 가평군 가평읍 용추로171번길 100,경기도 가평군 가평읍 승안리 산176번지,12408,127.4781549123,37.8439555200
회원제,금강,890860,18,경기도 여주시 가남읍 여주남로 541,경기도 여주시 가남읍 본두리 1-2번지,12646,127.5931537310,37.2430022254
비회원제,금강(비회원),359346,9,경기도 여주시 가남읍 여주남로 541,경기도 여주시 가남읍 본두리 1-2번지,12646,127.5931537310,37.2430022254
회원제,자유,2057831,36,경기도 여주시 가남읍 자유그린길 69,경기도 여주시 가남읍 삼군리 468-4번지,12661,127.5631897545,37.2082907385
비회원제,캐슬파인,1057645,18,경기도 여주시 강천면 부평로 580,경기도 여주시 강천면 부평리 산47-1번지,12617,127.7434122913,37.2982427952
회원제,렉스필드,855727,18,경기도 여주시 산북면 광여로 1115,경기도 여주시 산북면 상품리 산125-1번지,12603,127.4313969364,37.3988880198
회원제,스카이밸리,1048693,18,경기도 여주시 북내면 운촌길 254,경기도 여주시 북내면 운촌리 산40번지,12614,127.7265930476,37.3334034734
비회원제,소피아그린,1438632,27,경기도 여주시 점동면 소피아그린길 84,경기도 여주시 점동면 현수리 산13번지,12668,127.7014405714,37.1717643204
회원제,안양,828287,18,경기도 군포시 군포로 364,경기도 군포시 부곡동 1번지,15877,126.9456417624,37.3420476440
회원제,한원,1024961,27,경기도 용인시 처인구 남사읍 전나무골길2번길 94,경기도 용인시 처인구 남사읍 북리 859-1번지,17118,127.1305445941,37.1570992442
비회원제,파인리조트,1012580,27,경기도 용인시 처인구 양지면 남평로 112,경기도 용인시 처인구 양지면 남곡리 34-1번지,17164,127.2948210725,37.2129073682
